product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,category_1,category_2,rating_score,difference_price,user_id,user_name
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,1099.0,0.64,4.2,24269.0,Computers & Accessories,Accessories  &  Peripherals,Above Average,700.0,AG3D6O4STAQKAY2UVGEUV46KN35Q,Manav
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,349.0,0.43,4.0,43994.0,Computers & Accessories,Accessories  &  Peripherals,Above Average,150.0,AHMY5CWJMMK5BJRBBSNLYT3ONILA,Adarsh gupta
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,1899.0,0.9,3.9,7928.0,Computers & Accessories,Accessories  &  Peripherals,Average,1700.0,AHCTC6ULH4XB6YHDY6PCH2R772LQ,Sundeep
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,329.0,699.0,0.53,4.2,94363.0,Computers & Accessories,Accessories  &  Peripherals,Above Average,370.0,AGYHHIERNXKA6P5T7CZLXKVPT7IQ,S.Sayeed Ahmed
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,154.0,399.0,0.61,4.2,16905.0,Computers & Accessories,Accessories  &  Peripherals,Above Average,245.0,AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q,jaspreet singh
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,149.0,1000.0,0.85,3.9,24871.0,Computers & Accessories,Accessories  &  Peripherals,Average,851.0,AENGU523SXMOS7JPDTW52PNNVWGQ,Khaja moin
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,176.63,499.0,0.65,4.1,15188.0,Computers & Accessories,Accessories  &  Peripherals,Above Average,322.37,AEQJHCVTNINBS4FKTBGQRQTGTE5Q,Anand
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,229.0,299.0,0.23,4.3,30411.0,Computers & Accessories,Accessories  &  Peripherals,Above Average,70.0,AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,S.ARUMUGAM
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,499.0,999.0,0.5,4.2,179691.0,Computers & Accessories,Networking Devices ,Above Average,500.0,AECPFYFQVRUWC3KGNLJIOREFP5LQ,ArdKn
B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,299.0,0.33,4.0,43994.0,Computers & Accessories,Accessories  &  Peripherals,Above Average,100.0,AGYYVPDD7YG7FYNBXNGXZJT525AQ,Nirbhay kumar
